產品編號,產品名
P000000870,"高鈣低脂奶粉 (19-50歲) 800克"
P000000875,"純蒸餾水 700毫升"
P000000876,"電解質補充飲料 1.5公升"
P000000880,"牛油 - 含鹽 200克"
P000000883,"礦物質水 500毫升"
P000000884,"高鈣奶粉 800克"
P000000895,"高鈣低脂牛奶飲品 946毫升"
P000000907,"高鈣奶粉 - 健骨營養配方 (較低脂) (50歲以上) 800克"
P000000919,"萬用紙 9吋 4卷裝"
P000000922,"鮮豆漿 - 高鈣香滑 236 毫升"
P000000923,"鮮豆漿 - 高鈣低糖 236毫升"
P000000927,"全麥營養早餐 430克"
P000000933,"夏枯草 (低糖) 500毫升"
P000000934,"雞骨草 (低糖) 500毫升"
P000000942,"通心粉 (n.41) 500克"
P000000946,"高鈣低脂牛奶飲品 1公升 x 3"
P000000956,"脫脂牛奶 1公升 x 3"
P000000965,"紐西蘭奶油 (牛油) - 有鹽 227克"
P000000974,"""錫紙"" (鋁箔) 75平方呎 (6.96 平方米)"
P000000977,"C.C. Lemon 檸檬水 - 樽裝 500毫升"
P000000983,"深層潤膚乳液 380毫升"
P000000986,"金裝至尊 (180克/卷, VC4469) 3層衛生紙 10/12卷裝"
P000000991,"Rocher 金莎朱古力 T24 (24粒裝) 金鑽禮盒 300克"
P000001001,"安嬰兒 Enfamil A+ LactoFree (無乳糖配方) 嬰兒配方奶粉 370克"
P000001006,"巨浪大切番茄味薯片 150克"
P000001018,"Nespray 即溶奶粉 800克"
P000001030,"無比膏 20克"
P000001034,"即溶奶粉 2.2公斤"
P000001061,"高鈣健骨低脂奶粉 1.7公斤"
P000001062,"(米王之皇) 紅米 1.5公斤"
P000001063,"(米王之皇) 香糙米 1.5公斤"
P000001072,"長青高鈣低脂奶粉 (51+ 歲) 1.7公斤"
P000001099,"青芥辣 Wasabi 43克"
P000001105,"Belcube 芝士粒 - Plain (藍盒) 15件裝 78克"
P000001107,"煙燻芝士腸 (12.7安士) 360克"
P000001110,"煙燻辣肉腸 Hot & Spicy (12.7安士) 360克"
P000001116,"珍寶 Jumbo 200 (Y215V2JWG) 3層衛生紙 10/12卷裝"
P000001117,"王牌潔柔 3層衛生紙 10卷裝"
P000001127,"九州大阿蘇牛乳/牛奶 (UHT牛奶) 1公升"
P000001131,"天然礦泉水 (含氣) 1.5公升"
P000001139,"花生醬 - 粗粒裝 510克"
P000001146,"漂白水 - 檸檬味 1.5公升"
P000001152,"殺菌洗衣液 (清新花香) - 環保補充裝 1.8公升"
P000001154,"微波爐保鮮紙 50呎"
P000001159,"扁意粉 (n.13) 500克"
P000001164,"Shiraz Cabernet 施赫卡貝納 (切拉子赤霞珠) 紅酒 750毫升"
P000001174,"金牌鮮茄汁焗豆 220克"
P000001180,"啤酒 - 罐裝 500毫升 x 4"
P000001199,"清亮洗潔精 1公升"
P000001202,"驅風油 57毫升"
P000001206,"鮮薑汁豆腐花 229毫升"
P000001222,"雪糕甜筒 Drumstick - 芒果狂熱 115毫升 x 4"
P000001247,"食具器皿濃縮洗劑 (透明樽裝) 1公升"
P000001269,"潔廁液 (柑橘清香) 750亳升"
P000001272,"經典迷你組合雪糕 Mini Classics 75毫升 x 6杯"
P000001273,"扁粗意大利粉 Linguine (n.7) 500克"
P000001275,"意大利粉 Spaghetti (n.12) 500克"
P000001288,"黑啤酒 (特酿) Foreign Extra - 樽裝 650毫升"
P000001292,"豆漿 (原味) 408毫升"
P000001304,"維也納腸 Wieners 16安士"
P000001308,"冰片糖 (特級) 454克"
P000001313,"天使麵 Capellini (n.9) 500克"
P000001317,"鮮炸鯪魚 227克"
P000001332,"調製豆乳 1公升"
P000001347,"奶油芝士 (忌廉芝士/乳脂干酪) - 原味 250克"
P000001355,"纖巧紙巾盒 (200組) 5盒裝"
P000001363,"California Red 加州紅酒 1.5公升"
P000001365,"電解質補充飲品 - 樽裝 1.2公升"
P000001372,"泰國香糙米 1公斤"
P000001374,"蜂蜜 Pure Bee 375克"
P000001375,"野花蜂蜜 Wild Flower 方便裝 250克"
P000001379,"三葉草蜂蜜 Clover 500克"
P000001383,"澳洲天然蜂蜜 (方便裝) 400克"
P000001385,"超濃縮洗衣粉 - 超潔亮白 (補充裝) 2.25公斤"
P000001400,"新鮮雞蛋 AA級 - 特大裝 8隻 480克"
P000001411,"超濃縮洗衣液 - 抗菌配方 2公升"
P000001424,"超濃縮通渠啫喱 450毫升"
P000001433,"超濃縮洗衣粉 - 超潔亮白 3.5公斤"
P000001442,"新鮮雞蛋 AA級 - 大裝 8隻 424克"
P000001447,"曲奇朱古力條 50.7克"
P000001462,"原味玉米片 (粟米片) Classic Corn Flakes 275克"
P000001466,"萬用廚紙 (藍色包裝) (2-ply x 75 sheets) 4卷裝"
P000001476,"薯片 - 酸忌廉洋蔥味 102克"
P000001487,"Black 特濃朱古力 - 盒裝 (26粒裝) 120克"
P000001500,"清淡橄欖油 1公升"
P000001513,"槐花蜂蜜 Acacia 方便裝 250克"
P000001517,"低脂純乳酪 (不添加蔗糖) 475克"
P000001532,"多用途濃縮清潔劑 - 原味 1公升"
P000001557,"特效止痛藥 20粒"
P000001558,"滲透止痛貼 10片"
P000001559,"特級植物牛油 160克"
P000001561,"槐花蜜 500克"
P000001569,"火腿餐肉 340克"
P000001573,"倍力加 Enercal Plus 即沖均衡營養素 900克"
P000001575,"薄荷潤唇膏 (藥用 SPF15) 3.5克"
P000001577,"Shave Guard 刮鬍泡/剃鬚膏 (敏感膚質專用配方) (220毫升) 210克"
P000001582,"Lip Ice 什果冰潤唇膏 - 檸檬 3.5克"
P000001590,"出前一丁即食麵 - 九州濃湯豬骨湯味 98克"
P000001595,"特效滋潤沐浴露 2公升"
P000001604,"3合1白咖啡 - 經典 38克 x 10"
P000001606,"黃牌系列 - Merlot 梅鹿紅酒 750毫升"
P000001608,"三合一即溶咖啡 20克 x 18"
P000001615,"鮮牛奶 1.5公升"
P000001616,"高鈣低脂牛奶飲品 1.5公升"
P000001620,"糖水波蘿片 567克"
P000001622,"糖水波蘿片 836克"
P000001625,"榨菜肉絲 240克"
P000001628,"螺絲粉 (n.98) 500克"
P000001630,"葡萄籽油 1公升"
P000001631,"菲律賓香蕉 (每磅) (75536)"
P000001637,"煎炸滑豆腐 350毫升"
P000001639,"保鮮紙 300呎"
P000001661,"黑啤酒 (特酿) Foreign Extra - 罐裝 330毫升 x 4"
P000001662,"七喜 - 樽裝 2公升"
P000001663,"成人配方 Advance - Complete from A to Zinc (多種維他命及礦物質) 100粒"
P000001691,"0.02 水性聚氨脂安全套 Hydro PU 10個"
P000001692,"雙重功效 (維他命C加鋅) 香橙味水溶片 10片"
P000001703,"無倦意咳水 (清新提子味) 120毫升"
P000001706,"朱古力批 (巧克力批) - 士多啤梨味 300克"
P000001712,"+C有汽檸檬味飲品 - 罐裝 330毫升 x 8"
P000001714,"日本肝油丸 (Drop S) 300粒"
P000001715,"蠔油 555克"
P000001719,"親護 1 Similac Total Comfort 820克"
P000001720,"親護 2 Similac Total Comfort 820克"
P000001724,"原隻極上鮮蝦雲吞 8件裝 101克"
P000001732,"鰵魚肝油 - 鮮橙 400毫升"
P000001740,"低脂高鈣奶類飲品 1公升 x 3"
P000001751,"袋裝鮮橙 (8個裝) (70005)"
P000001761,"(每個) (73763)"
P000001765,"純牛奶 250毫升 x 6"
P000001771,"Exacta 2 Sensitive Skin 高級防滑輕便刀 (滋潤型 - 綠色) (2+1) 3支裝"
P000001772,"Exacta 2 Normal Skin 高級防滑輕便刀 (藍色) 5支裝"
P000001777,"大裝鮮橙「60裝/72裝」(每個) (73447)"
P000001779,"(每個) (73753)"
P000001788,"(每個) (37157)"
P000001801,"檸檬夾心餅 (獨立包裝 24克 x 12包) 288克"
P000001805,"袋裝 (1棵) (919324)"
P000001807,"時時食夾心餅 - 花生味 (50克 x 8包) 400克"
P000001824,"(每個) (75432)"
P000001855,"北海道特選3.6牛乳 (UHT牛奶) 迷你裝 200毫升"
P000001872,"出前一丁即食麵 - 黑蒜油豬骨湯味 97克"
P000001874,"小磨麻油 150亳升"
P000001881,"純正馬蹄粉 500克"
P000001893,"雙效潔廁液 (海洋清香) 650毫升"
P000001902,"金黃粟米湯 310克"
P000001919,"能量飲品 - 香橙 300毫升"
P000001931,"芝士醬 8粒裝 120克"
P000001934,"0.03 貼身超薄安全套 Real Fit 10個"
P000001942,"上湯米粉 65克"
P000001949,"超薄倍滑裝更薄型衛生套 Elite Ultra Thin Extra Lube 10個"
P000001956,"森林蜂蜜 Forest 500克"
P000001968,"橙樹槐花蜜 Fruity and Floral 250克"
P000001980,"普洱茶包  x 100"
P000001983,"皇冠型安全套 Crown 10個"
P000002008,"Illuma Luxa 4 學兒成長配方奶粉 800克"
P000002027,"特柔 Extra Soft (150克/卷, HKBT910, 藍色包裝) 3層衛生紙 10卷裝"
P000002028,"金鑽系列 (1740克, VC4420) 4層衛生紙 12卷裝"
P000002029,"4層衛生紙 (紫色包裝) 12卷裝"
P000002036,"北海道富良野特選3.7牛乳 (UHT牛奶) 1公升"
P000002041,"冰鮮麻皇雞 (全雞) 1隻 (938852)"
P000002049,"頂級越南香米 5公斤"
P000002050,"頂級越南香米 8公斤"
P000002051,"珍珠米 5公斤"
P000002052,"珍珠米 8公斤"
P000002054,"特選優質香米 5公斤"
P000002055,"特選優質香米 8公斤"
P000002058,"靚米 8公斤"
P000002073,"五穀米 1.8公斤"
P000002077,"最高級特撰米 5磅 (2.27公斤)"
P000002101,"成人紙尿片 夜用型 (中碼) 9片"
P000002104,"看護墊 長效型 (大碼) 8片"
P000002121,"花生醬 - 幼滑裝 510克"
P000002122,"花生醬 - 幼滑裝 170克"
P000002145,"狗食乾糧 (成犬專用) - 牛肉及蔬菜味  1.5公斤"
P000002153,"怡保康 Glucerna 850克"
P000002173,"狗食乾糧 (成犬專用) - 雞肉味 10公斤"
P000002183,"啤酒 Pale Pilsen - 菲律賓樽裝 (Imported) 320毫升"
P000002207,"天然礦泉水 570毫升"
P000002213,"熱帶雜果 439克"
P000002239,"天然深層地下水 1公升"
P000002240,"天然深層地下水 500毫升"
P000002243,"有機短糙米 1公斤"
P000002267,"Almond Chocolate Crisp 杏仁脆米朱古力 (紙盒裝) 89克"
P000002276,"港式奶茶 - 250毫升 x 6"
P000002282,"1+2 原味即溶咖啡飲品 15克 x 20"
P000002300,"Ultra Strong 超韌 (100抽 x 3層, L加大裝:189mm, VC2225) 軟抽面巾 4包裝"
P000002301,"茶語系列 (150抽 x 2層, HKDT3150) 軟抽面紙 5包裝"
P000002302,"180抽抽取式紙面巾 (180抽 x 2層, HCR003) 5包裝"
P000002314,"殺菌消毒濕紙巾 10片裝"
P000002318,"殺菌消毒濕紙巾 (迪士尼) 10片裝"
P000002336,"自發粉 800克"
P000002344,"高質淨麵粉 800克"
P000002367,"盒裝 125克 (926840)"
P000002371,"無蔗糖添加即沖100%豆漿 20克 x 8"
P000002390,"花生醬 - 粗粒裝 170克"
P000002407,"袋裝 (340克 / 12安士) (55505)"
P000002410,"蜂皇漿 (in Mountain Flower Honey) 375克"
P000002411,"槐花蜂巢蜂蜜 Acacia Honeycomb 500克"
P000002474,"古法生抽王 500毫升"
P000002476,"金牌蠔油 380克"
P000002484,"香片茶包 x 100"
P000002505,"天然礦泉水 1.5公升 x 6"
P000002507,"花生醬 - 粗粒裝 340克"
P000002519,"日本櫻花雞蛋 10隻"
P000002520,"通心粉 Chifferi Rigati (n.33) 500克"
P000002530,"葯水 1.75安士 (50毫升)"
P000002531,"脫脂高鈣牛奶飲品 236毫升"
P000002552,"天然氣泡礦泉水 1公升"
P000002575,"+維他命C (含多種維他命及礦物質) 葡萄口味咀嚼片 60粒"
P000002592,"Free Range 全脂牛奶 1公升"
P000002593,"Free Range 脫脂牛奶 1公升"
P000002604,"花生朱古力 (13 x 13.5克 繽紛裝) 175.5克"
P000002605,"奇趣蛋 (含新奇玩具) 男孩版 (單蛋裝) 20克"
P000002606,"奇趣蛋 (含新奇玩具) 女孩版 (單蛋裝) 20克"
P000002611,"奇趣蛋 (含新奇玩具) 女孩版 (3蛋裝) 20克 x 3"
P000002654,"衛生棉條 - 普通型 16片"
P000002655,"紫菜 (原味) 24小包 18克"
P000002657,"紫菜 (原味) 100小包 75克"
P000002660,"糖水波蘿片 234克"
P000002668,"IRT6520 耳溫槍"
P000002676,"白金版 3 幼兒成長配方奶粉 900克"
P000002686,"超滑牙線 Satin Floss (薄荷口味) 50米"
P000002692,"香蕉奶 200毫升"
P000002693,"士多啤梨奶 200毫升"
P000002694,"蜜瓜奶 200毫升 x 6"
P000002700,"乾貓糧 (成年貓) - 海洋魚類 1.2公斤"
P000002711,"化粧棉 180片"
P000002714,"冰凉消毒漱口水 250毫升"
P000002717,"梳打粉 56克"
P000002731,"泰國有機香米 2公斤"
P000002732,"泰國三色健康香米 5公斤"
P000002736,"健康糖 8.5克 100粒裝"
P000002759,"意大利粉 Spaghetti (N.4) 500克"
P000002761,"坑紋長尖通粉 Penne Zita Rigate (N.32) 500克"
P000002764,"意大利粉 Spaghetti (n.5) 500克"
P000002765,"直通粉 (n.73) 500克"
P000002766,"長通粉 Penne Rigate (n.41) 500克"
P000002773,"沐浴露 32安士 946毫升"
P000002792,"零感特薄 (日/夜用) 衛生巾 30厘米 16片"
P000002793,"特效滋潤沐浴露 1公升"
P000002799,"低脂乳酪 - 椰果 135克"
P000002810,"嬰兒紙尿片 (初生) 44片"
P000002814,"嬰兒紙尿片 (加大碼) 44片"
P000002822,"聲波震動牙刷 - 標準刷頭 (M) 1支"
P000002823,"聲波震動牙刷 - 超細刷頭 (SS) 1支"
P000002829,"紅醋 (藍莓味) 500毫升"
P000002833,"牛奶朱古力 - 盒裝 (26粒裝) 120克"
P000002843,"極緻綿柔纖巧夜用衛生巾 41厘米 8片"
P000002849,"Aquaction 長效保濕凝露 50克"
P000002863,"最高級特撰米 10磅 (4.54公斤)"
P000002867,"營養麥 (不另加糖) Swiss Style Muesli - No Added Sugar 560克"
P000002889,"強力凝聚貓沙 9公升"
P000002890,"茉莉香米 5公斤"
P000002893,"燕麥舒緩潤膚露 - 含燕麥萃取及乳木果油 621毫升"
P000002908,"緊緻活膚乳液 400毫升"
P000002909,"天然燕麥高效舒緩保濕乳 354毫升"
P000002913,"三重補濕彈力面膜 (極潤) 5片裝"
P000002938,"維他命香橙及檸檬夾心果汁糖 50克"
P000002953,"金裝銀絲香米 8公斤"
P000002955,"港式奶茶 - 樽裝 480毫升"
P000002962,"橄欖油 500毫升"
P000002984,"深層清潔洗髮露 900毫升"
P000002990,"止汗走珠香體露 - 原味 40毫升"
P000002999,"鮮菇粉 180克"
P000003001,"銀絲米粉 - 金牌原味 65克"
P000003011,"蜜蠟潤唇膏 4.25克"
P000003020,"冷榨橙汁 1公升"
P000003023,"瞬吸倍護絲薄護翼特長日用衛生巾 25厘米 14片"
P000003028,"止汗走珠香氛 - 持久乾爽 Dry Comfort 50毫升"
P000003037,"MC-246 電子體溫計"
P000003083,"皇室香皂 110克 x 4"
P000003086,"蔴蓉湯圓 24粒 240克"
P000003106,"無核提子乾 9包裝 125克"
P000003109,"高效去油洗潔精 2公斤"
P000003112,"有機雙益 Combiotic 3 幼兒成長奶粉 800克"
P000003119,"牛油 - 原味 / 無添加鹽 227克"
P000003121,"有機軟牛油 (含植物油) - 少鹽 Slightly Salted 200克"
P000003123,"綠豆霸 (綠豆冰凍甜點) 4支裝 (80毫升 x 4支) 320毫升"
P000003124,"有機黃豆硬豆腐 300克"
P000003129,"三合一速溶咖啡飲品 - 低脂咖啡 14克 x 20"
P000003136,"4層衛生紙 (1740克, VC4439) 12卷裝"
P000003141,"零感特薄 (特長日用) 衛生巾 25厘米 16片"
P000003146,"瞬吸倍護護翼夜用纖巧衛生巾 30厘米 8片"
P000003147,"好自在甜睡瞬潔護翼極長夜用衛生巾 40厘米 10片"
P000003153,"LT 活性乳酸菌飲品 - 低糖高纖 100毫升 x 5"
P000003158,"沙律醬 300克"
P000003160,"奇妙醬 (12安士) 354毫升"
P000003170,"S-26 Gold Connect 1 初生嬰兒配方奶粉 850克"
P000003172,"S-26 Gold Connect 3 幼兒成長配方奶粉 850克"
P000003173,"S-26 Gold Connect 4 學兒成長配方奶粉 850克"
P000003188,"單一穀物米粉 227克"
P000003192,"至薄極感裝衛生套 Air Max 10個"
P000003194,"50+配方 Advance - Complete from A to Zinc (多種維他命及礦物質) 100粒"
P000003195,"23種維他命及礦物質補充品 100粒"
P000003201,"全效賦活柔滑潔面霜 100克"
P000003205,"潤澤水嫩洗面乳 130克"
P000003208,"安睡倍護夜用纖巧衛生巾 (3D防漏邊) 35厘米 8片"
P000003215,"牛油蛋卷 3條裝 x 6"
P000003222,"抽取式萬用廚紙 (VC2394) 80張 x 3包裝"
P000003229,"Melona 蜜瓜味雪條 80毫升 x 4"
P000003243,"廚房全效清潔劑 - 噴霧裝 500克"
P000003257,"綠茶成分洗手梘液 (含濃縮綠茶配方) - 香花味 250毫升"
P000003264,"潤喉糖 - 清甜青檸味 25克"
P000003265,"草本潤無糖喉片 - 蜂蜜檸檬味 10.4克"
P000003267,"特強草本潤喉糖 (川貝、枇杷配方) 8粒裝 24克"
P000003280,"微波爐保鮮紙 65.6呎"
P000003282,"牛奶朱古力 Swiss Classic - Milk 100克"
P000003288,"乳酪飲品 - 藍莓 65毫升 x 6"
P000003303,"幼海鹽 500克"
P000003304,"南非海鹽 360克"
P000003309,"Melona 芒果味雪條 80毫升 x 4"
P000003312,"特選萬里脆花生 320克"
P000003319,"零系可樂 - 樽裝 1.25公升"
P000003321,"荳奶 - 椰子味 250毫升 x 6"
P000003323,"3合1白咖啡 - 榛果 38克 x 10"
P000003327,"輕盈純淨洗髮乳 680毫升"
P000003343,"冷氣機潔淨劑 (清新花香) 420毫升"
P000003384,"無睡意傷風素 Coltalin ND 24粒"
P000003389,"草本清熱沖劑 - 青檸味 6克 x 4"
P000003390,"草本清熱潤沖劑 - 青檸味 5克 x 4"
P000003423,"手製薯片 - 海鹽配方 5安士 142克"
P000003425,"火辣味波浪薯片 184.2克"
P000003437,"輕怡七喜碳酸飲料 - 罐裝 330毫升 x 8"
P000003438,"加系可樂膳食纖維 (無糖) - 樽裝 500毫升"
P000003445,"零系玉泉忌廉味汽水 - 罐裝 330毫升 x 8"
P000003449,"粒粒蘋果飲品 400毫升"
P000003450,"In 能量果凍飲品 (白葡萄) 180克"
P000003452,"防曬露 SPF50 150毫升"
P000003455,"極防水輕爽低敏 UV 乳液 SPF50+ PA++++ 60毫升"
P000003466,"超薄緊貼裝衛生套 10個"
P000003469,"0.01 水性聚氨脂安全套 4個"
P000003472,"出前一丁通心寶 - 海鮮鮑魚湯味通心粉 90克"
P000003476,"3D 一次性成人護理口罩 - 大碼 20個"
P000003486,"曲奇忌廉雪糕批 80毫升 x 4"
P000003487,"澳洲走地鮮雞蛋 6隻"
P000003491,"可可脆片 Koko Krunch 330克"
P000003492,"東莞米粉 454克"
P000003496,"清雞湯 500毫升"
P000003498,"藍苺比高 11.5安士 326克"
P000003499,"馬蘇里拉芝士薄餅 335克"
P000003503,"卡邦尼蘑菇意粉醬 295克 10.4安士"
P000003506,"2合1白咖啡 -  咖啡+奶精 25克 x 10"
P000003507,"純水嬰兒濕紙巾 30片 x 3"
P000003509,"去屑洗髮露 (止癢呵護) 680克"
P000003512,"維他命E深層滋潤洗髲露 900毫升"
P000003518,"豆腐花 229毫升"
P000003521,"粟米粒 410克"
P000003539,"丹麥必然芝士 125克"
P000003553,"罐裝貓糧 - 吞拿三文魚 (湯汁) 85克"
P000003554,"鮮饌包 - 鮪魚 (吞拿魚) 及鯛魚口味 70克"
P000003556,"罐裝貓糧 - 雞肉蟹柳 85克"
P000003569,"眼唇二合一卸妝液 150毫升"
P000003570,"溫和眼唇卸妝液 125毫升"
P000003573,"高效眼唇卸妝液 130毫升"
P000003576,"水感舒緩無油卸妝水 400毫升"
P000003589,"粟米油 900毫升 x 3"
P000003624,"嬰兒潤膚霜 (有機金盞花) 400毫升"
P000003627,"嬰兒潤膚乳霜 350毫升"
P000003628,"嬰兒潤膚乳 120毫升"
P000003633,"保濕滋潤霜 200毫升"
P000003634,"金盞花潤膚乳液 251毫升"
P000003636,"意大利粉 500克"
P000003642,"有機燕麥粉 227克"
P000003647,"黑白配 (朱古力捲香草味) 60克"
P000003658,"牧場牛乳餅乾 172克"
P000003661,"魚仔餅 - 烤雞口味 33克"
P000003669,"軟包紙巾 (150組 x 2層) 5包裝"
P000003670,"牛油  - 有鹽 195克"
P000003672,"脆烤花生 100克"
P000003673,"脆焗原粒杏仁 100克"
P000003675,"紅莓乾 170克"
P000003676,"克力架 424克"
P000003678,"原味薯片 60克"
P000003682,"花生醬 - 幼滑裝 340克"
P000003685,"餐桌鹽 454克"
P000003687,"白砂糖 400克"
P000003688,"梳打餅 - 芝麻 205克"
P000003690,"蒸餾水 550毫升"
P000003691,"原粒磨菇 425克"
P000003693,"茄汁焗豆 390克"
P000003694,"菠蘿片 836克"
P000003695,"全脂鮮牛奶 1公升"
P000003706,"無鹽焗合桃 120克"
P000003741,"鼻寧定量噴劑 30毫升"
P000003764,"頂級泰國茉莉香米 8公斤"
P000003765,"健康三色米 5公斤"
P000003766,"紅米 2公斤"
P000003767,"糯米 2公斤"
P000003769,"優質泰國茉莉香米 5公斤"
P000003771,"優質泰國茉莉香米 2公斤"
P000003772,"純正粟米油 5公升"
P000003773,"純正芥花籽油 900毫升 X 3"
P000003774,"純正粟米油 900毫升 x 3"
P000003776,"純正芥花籽油 1.8公升"
P000003777,"純正粟米油 1.8公升"
P000003780,"純正芥花籽油 700毫升"
P000003803,"奶皇包 3件"
P000003805,"白菜豬肉水餃 540克"
P000003806,"蝦餃 8件"
P000003807,"蝦肉燒賣 10件"
P000003810,"叉燒包 3件"
P000003811,"菜肉包 3件"
P000003821,"橄欖油浸吞拿魚塊 95克"
P000003824,"礦泉水浸吞拿魚塊 95克"
P000003825,"礦泉水浸吞拿魚片185克"
P000003826,"鹽水浸吞拿塊 185克"
P000003827,"礦泉水浸吞拿魚塊 185克"
P000003829,"橄欖油浸吞拿魚塊 185克"
P000003835,"菠蘿片 227克"
P000003836,"花生味威化 200克"
P000003838,"奶鹽梳打 205克"
P000003839,"朱古力味威化 200克"
P000003840,"檸檬味麥芽夾心餅 350克"
P000003841,"麥芽酥餅 350克"
P000003843,"三文治方麥包 8片"
P000003850,"即食燕麥片 800克"
