產品編號,產品名,品牌
P000000747,"午餐肉 198克","梅林"
P000000748,"午餐肉 170克 x 3","梅林"
P000000749,"糖水波蘿片 836克","地捫"
P000000762,"漂白水 - 天然原味 2.8公升","高樂氏"
P000000774,"礦物質水 1.5公升","飛雪"
P000000775,"純蒸餾水 1.5公升","維他"
P000000779,"天然氣泡礦泉水 750毫升","聖沛黎洛"
P000000792,"粒粒裝榛子威化餅 Quadratini Napolitaner 250克","萊家"
P000000793,"忌廉威化 - 朱古力味 200克","嘉頓"
P000000807,"原味玉米片 (粟米片) Classic Corn Flakes 170克","家樂氏"
P000000812,"可可脆片 Koko Krunch 170克","雀巢"
P000000823,"可樂 - 樽裝 1.25公升","可口可樂"
P000000831,"洗潔精 (維他命E檸檬護膚) - 補充裝 1.3公斤","斧頭牌"
P000000834,"美祿 Milo 可可球 170克","雀巢"
P000000835,"可可米 Coco Pops 190克","家樂氏"
P000000840,"夾心曲奇 (獨立包裝 26.25克 x 9包) 236.25克","奧利奧"
P000000858,"金裝3合1咖啡 17克 x 10","雀巢咖啡"
P000000859,"電解質補充飲料 - 沖劑 66克 x 5","寶礦力水特"
P000000865,"Professional 強勁薄荷味無糖香口珠 20粒 28克","益達"
P000000867,"Cawarra Shiraz Cabernet 施赫卡貝納 (切拉子赤霞珠) 紅酒 750毫升","利達民"
P000000868,"純蒸餾水 430毫升","維他"
P000000869,"長青高鈣低脂奶粉 (51+ 歲) 800克","安怡"
P000000870,"高鈣低脂奶粉 (19-50歲) 800克","安怡"
P000000875,"純蒸餾水 700毫升","維他"
P000000876,"電解質補充飲料 1.5公升","寶礦力水特"
P000000880,"牛油 - 含鹽 200克","大公司"
P000000883,"礦物質水 500毫升","飛雪"
P000000884,"高鈣奶粉 800克","雀巢三花"
P000000895,"高鈣低脂牛奶飲品 946毫升","維記"
P000000907,"高鈣奶粉 - 健骨營養配方 (較低脂) (50歲以上) 800克","克寧"
P000000919,"萬用紙 9吋 4卷裝","絲潔"
P000000922,"鮮豆漿 - 高鈣香滑 236 毫升","百福"
P000000923,"鮮豆漿 - 高鈣低糖 236毫升","百福"
P000000927,"全麥營養早餐 430克","維他麥"
P000000933,"夏枯草 (低糖) 500毫升","鴻福堂"
P000000934,"雞骨草 (低糖) 500毫升","鴻福堂"
P000000942,"通心粉 (n.41) 500克","百得阿姨"
P000000946,"高鈣低脂牛奶飲品 1公升 x 3","保利"
P000000956,"脫脂牛奶 1公升 x 3","保利"
P000000965,"紐西蘭奶油 (牛油) - 有鹽 227克","安佳"
P000000974,"""錫紙"" (鋁箔) 75平方呎 (6.96 平方米)","鑽石"
P000000977,"C.C. Lemon 檸檬水 - 樽裝 500毫升","三得利"
P000000983,"深層潤膚乳液 380毫升","妮維雅"
P000000986,"金裝至尊 (180克/卷, VC4469) 3層衛生紙 10/12卷裝","維達"
P000000991,"Rocher 金莎朱古力 T24 (24粒裝) 金鑽禮盒 300克","費列羅"
P000001001,"安嬰兒 Enfamil A+ LactoFree (無乳糖配方) 嬰兒配方奶粉 370克","美贊臣"
P000001006,"巨浪大切番茄味薯片 150克","江戶"
P000001018,"Nespray 即溶奶粉 800克","雀巢"
P000001030,"無比膏 20克","無比膏"
P000001034,"即溶奶粉 2.2公斤","克寧"
P000001061,"高鈣健骨低脂奶粉 1.7公斤","雀巢三花"
P000001062,"(米王之皇) 紅米 1.5公斤","金鳳 (鉅發源)"
P000001063,"(米王之皇) 香糙米 1.5公斤","金鳳 (鉅發源)"
P000001072,"長青高鈣低脂奶粉 (51+ 歲) 1.7公斤","安怡"
P000001099,"青芥辣 Wasabi 43克","S&B"
P000001105,"Belcube 芝士粒 - Plain (藍盒) 15件裝 78克","笑牛牌"
P000001107,"煙燻芝士腸 (12.7安士) 360克","尊遜牌"
P000001110,"煙燻辣肉腸 Hot & Spicy (12.7安士) 360克","尊遜牌"
P000001116,"珍寶 Jumbo 200 (Y215V2JWG) 3層衛生紙 10/12卷裝","唯潔雅"
P000001117,"王牌潔柔 3層衛生紙 10卷裝","潔柔"
P000001127,"九州大阿蘇牛乳/牛奶 (UHT牛奶) 1公升","Rakunou Mothers (Kumamoto Dairy)"
P000001131,"天然礦泉水 (含氣) 1.5公升","聖碧濤"
P000001139,"花生醬 - 粗粒裝 510克","頂好牌"
P000001146,"漂白水 - 檸檬味 1.5公升","花王"
P000001152,"殺菌洗衣液 (清新花香) - 環保補充裝 1.8公升","獅王潔白物語"
P000001154,"微波爐保鮮紙 50呎","佳能"
P000001159,"扁意粉 (n.13) 500克","百得阿姨"
P000001164,"Shiraz Cabernet 施赫卡貝納 (切拉子赤霞珠) 紅酒 750毫升","傑卡斯"
P000001174,"金牌鮮茄汁焗豆 220克","是蜜味"
P000001180,"啤酒 - 罐裝 500毫升 x 4","藍冰"
P000001199,"清亮洗潔精 1公升","萬潔靈"
P000001202,"驅風油 57毫升","均隆"
P000001206,"鮮薑汁豆腐花 229毫升","百福"
P000001222,"雪糕甜筒 Drumstick - 芒果狂熱 115毫升 x 4","雀巢"
P000001247,"食具器皿濃縮洗劑 (透明樽裝) 1公升","紅威寶"
P000001269,"潔廁液 (柑橘清香) 750亳升","潔廁得"
P000001272,"經典迷你組合雪糕 Mini Classics 75毫升 x 6杯","Haagen-Dazs"
P000001273,"扁粗意大利粉 Linguine (n.7) 500克","De Cecco"
P000001275,"意大利粉 Spaghetti (n.12) 500克","De Cecco"
P000001288,"黑啤酒 (特酿) Foreign Extra - 樽裝 650毫升","健力士"
P000001292,"豆漿 (原味) 408毫升","大和"
P000001304,"維也納腸 Wieners 16安士","奧斯美"
P000001308,"冰片糖 (特級) 454克","珠江橋牌"
P000001313,"天使麵 Capellini (n.9) 500克","De Cecco"
P000001317,"鮮炸鯪魚 227克","珠江橋牌"
P000001332,"調製豆乳 1公升","Marusan"
P000001347,"奶油芝士 (忌廉芝士/乳脂干酪) - 原味 250克","菲力費城"
P000001355,"纖巧紙巾盒 (200組) 5盒裝","妮飄"
P000001363,"California Red 加州紅酒 1.5公升","佳樂事"
P000001365,"電解質補充飲品 - 樽裝 1.2公升","水動樂"
P000001372,"泰國香糙米 1公斤","廣新"
P000001374,"蜂蜜 Pure Bee 375克","蘭絲"
P000001375,"野花蜂蜜 Wild Flower 方便裝 250克","蘭絲"
P000001379,"三葉草蜂蜜 Clover 500克","蜂兒"
P000001383,"澳洲天然蜂蜜 (方便裝) 400克","加比蘭奴"
P000001385,"超濃縮洗衣粉 - 超潔亮白 (補充裝) 2.25公斤","威潔 33"
P000001400,"新鮮雞蛋 AA級 - 特大裝 8隻 480克","德青源"
P000001411,"超濃縮洗衣液 - 抗菌配方 2公升","花王潔霸"
P000001424,"超濃縮通渠啫喱 450毫升","獅王 通渠佬"
P000001433,"超濃縮洗衣粉 - 超潔亮白 3.5公斤","威潔 33"
P000001442,"新鮮雞蛋 AA級 - 大裝 8隻 424克","德青源"
P000001447,"曲奇朱古力條 50.7克","特趣"
P000001462,"原味玉米片 (粟米片) Classic Corn Flakes 275克","家樂氏"
P000001466,"萬用廚紙 (藍色包裝) (2-ply x 75 sheets) 4卷裝","維達"
P000001476,"薯片 - 酸忌廉洋蔥味 102克","品客"
P000001487,"Black 特濃朱古力 - 盒裝 (26粒裝) 120克","明治"
P000001500,"清淡橄欖油 1公升","獅球嘜"
P000001513,"槐花蜂蜜 Acacia 方便裝 250克","蘭絲"
P000001517,"低脂純乳酪 (不添加蔗糖) 475克","雀巢牛奶公司"
P000001532,"多用途濃縮清潔劑 - 原味 1公升","藍威寶"
P000001557,"特效止痛藥 20粒","必理痛"
P000001558,"滲透止痛貼 10片","必理痛"
P000001559,"特級植物牛油 160克","雪印"
P000001561,"槐花蜜 500克","寶生園 真蜜"
P000001569,"火腿餐肉 340克","金龍牌"
P000001573,"倍力加 Enercal Plus 即沖均衡營養素 900克","惠氏"
P000001575,"薄荷潤唇膏 (藥用 SPF15) 3.5克","曼秀雷敦"
P000001577,"Shave Guard 刮鬍泡/剃鬚膏 (敏感膚質專用配方) (220毫升) 210克","舒適"
P000001582,"Lip Ice 什果冰潤唇膏 - 檸檬 3.5克","曼秀雷敦"
P000001590,"出前一丁即食麵 - 九州濃湯豬骨湯味 98克","日清"
P000001595,"特效滋潤沐浴露 2公升","澳寶"
P000001604,"3合1白咖啡 - 經典 38克 x 10","舊街場"
P000001606,"黃牌系列 - Merlot 梅鹿紅酒 750毫升","禾富巴斯"
P000001608,"三合一即溶咖啡 20克 x 18","迎樂"
P000001615,"鮮牛奶 1.5公升","維記"
P000001616,"高鈣低脂牛奶飲品 1.5公升","維記"
P000001620,"糖水波蘿片 567克","特別好"
P000001622,"糖水波蘿片 836克","特別好"
P000001625,"榨菜肉絲 240克","梅林"
P000001628,"螺絲粉 (n.98) 500克","百得阿姨"
P000001630,"葡萄籽油 1公升","奧尼"
P000001631,"菲律賓香蕉 (每磅) (75536)","地捫"
P000001637,"煎炸滑豆腐 350毫升","百福"
P000001639,"保鮮紙 300呎","佳能"
P000001661,"黑啤酒 (特酿) Foreign Extra - 罐裝 330毫升 x 4","健力士"
P000001662,"七喜 - 樽裝 2公升","七喜"
P000001663,"成人配方 Advance - Complete from A to Zinc (多種維他命及礦物質) 100粒","善存"
P000001691,"0.02 水性聚氨脂安全套 Hydro PU 10個","岡本"
P000001692,"雙重功效 (維他命C加鋅) 香橙味水溶片 10片","維多C"
P000001703,"無倦意咳水 (清新提子味) 120毫升","樂信"
P000001706,"朱古力批 (巧克力批) - 士多啤梨味 300克","江戶"
P000001712,"+C有汽檸檬味飲品 - 罐裝 330毫升 x 8","玉泉"
P000001714,"日本肝油丸 (Drop S) 300粒","Kawai"
P000001715,"蠔油 555克","淘大"
P000001719,"親護 1 Similac Total Comfort 820克","雅培"
P000001720,"親護 2 Similac Total Comfort 820克","雅培"
P000001724,"原隻極上鮮蝦雲吞 8件裝 101克","正大"
P000001732,"鰵魚肝油 - 鮮橙 400毫升","司各脫"
P000001740,"低脂高鈣奶類飲品 1公升 x 3","蒙牛"
P000001751,"袋裝鮮橙 (8個裝) (70005)","新奇士"
P000001761,"(每個) (73763)","紅肉西柚"
P000001765,"純牛奶 250毫升 x 6","保利"
P000001771,"Exacta 2 Sensitive Skin 高級防滑輕便刀 (滋潤型 - 綠色) (2+1) 3支裝","舒適"
P000001772,"Exacta 2 Normal Skin 高級防滑輕便刀 (藍色) 5支裝","舒適"
P000001777,"大裝鮮橙「60裝/72裝」(每個) (73447)","新奇士"
P000001779,"(每個) (73753)","紅蘋果"
P000001788,"(每個) (37157)","中國富士蘋果"
P000001801,"檸檬夾心餅 (獨立包裝 24克 x 12包) 288克","嘉頓"
P000001805,"袋裝 (1棵) (919324)","西芹"
P000001807,"時時食夾心餅 - 花生味 (50克 x 8包) 400克","嘉頓"
P000001824,"(每個) (75432)","椰菜花"
P000001855,"北海道特選3.6牛乳 (UHT牛奶) 迷你裝 200毫升","Kumiai Dairies"
P000001872,"出前一丁即食麵 - 黑蒜油豬骨湯味 97克","日清"
P000001874,"小磨麻油 150亳升","淘大"
P000001881,"純正馬蹄粉 500克","泮塘"
P000001893,"雙效潔廁液 (海洋清香) 650毫升","萬潔靈"
P000001902,"金黃粟米湯 310克","金寶湯"
P000001919,"能量飲品 - 香橙 300毫升","葡萄適"
P000001931,"芝士醬 8粒裝 120克","笑牛牌"
P000001934,"0.03 貼身超薄安全套 Real Fit 10個","岡本"
P000001942,"上湯米粉 65克","福字"
P000001949,"超薄倍滑裝更薄型衛生套 Elite Ultra Thin Extra Lube 10個","杜蕾斯"
P000001956,"森林蜂蜜 Forest 500克","愛比素"
P000001968,"橙樹槐花蜜 Fruity and Floral 250克","法國蜜月"
P000001980,"普洱茶包  x 100","陸羽"
P000001983,"皇冠型安全套 Crown 10個","岡本"
P000002008,"Illuma Luxa 4 學兒成長配方奶粉 800克","惠氏"
P000002027,"特柔 Extra Soft (150克/卷, HKBT910, 藍色包裝) 3層衛生紙 10卷裝","心相印"
P000002028,"金鑽系列 (1740克, VC4420) 4層衛生紙 12卷裝","維達"
P000002029,"4層衛生紙 (紫色包裝) 12卷裝","唯潔雅"
P000002036,"北海道富良野特選3.7牛乳 (UHT牛奶) 1公升","北海道日高"
P000002041,"冰鮮麻皇雞 (全雞) 1隻 (938852)","中國冰鮮雞"
P000002049,"頂級越南香米 5公斤","甘越"
P000002050,"頂級越南香米 8公斤","甘越"
P000002051,"珍珠米 5公斤","碧香稻"
P000002052,"珍珠米 8公斤","碧香稻"
P000002054,"特選優質香米 5公斤","好運牌"
P000002055,"特選優質香米 8公斤","好運牌"
P000002058,"靚米 8公斤","銀花"
P000002073,"五穀米 1.8公斤","三好米"
P000002077,"最高級特撰米 5磅 (2.27公斤)","錦字米"
P000002101,"成人紙尿片 夜用型 (中碼) 9片","添寧"
P000002104,"看護墊 長效型 (大碼) 8片","添寧"
P000002121,"花生醬 - 幼滑裝 510克","頂好牌"
P000002122,"花生醬 - 幼滑裝 170克","頂好牌"
P000002145,"狗食乾糧 (成犬專用) - 牛肉及蔬菜味  1.5公斤","寶路"
P000002153,"怡保康 Glucerna 850克","雅培"
P000002173,"狗食乾糧 (成犬專用) - 雞肉味 10公斤","寶路"
P000002183,"啤酒 Pale Pilsen - 菲律賓樽裝 (Imported) 320毫升","生力"
P000002207,"天然礦泉水 570毫升","景田百岁山"
P000002213,"熱帶雜果 439克","特別好"
P000002239,"天然深層地下水 1公升","斐濟"
P000002240,"天然深層地下水 500毫升","斐濟"
P000002243,"有機短糙米 1公斤","點點綠"
P000002267,"Almond Chocolate Crisp 杏仁脆米朱古力 (紙盒裝) 89克","樂天"
P000002276,"港式奶茶 - 250毫升 x 6","維他"
P000002282,"1+2 原味即溶咖啡飲品 15克 x 20","雀巢咖啡"
P000002300,"Ultra Strong 超韌 (100抽 x 3層, L加大裝:189mm, VC2225) 軟抽面巾 4包裝","維達"
P000002301,"茶語系列 (150抽 x 2層, HKDT3150) 軟抽面紙 5包裝","心相印"
P000002302,"180抽抽取式紙面巾 (180抽 x 2層, HCR003) 5包裝","潔柔"
P000002314,"殺菌消毒濕紙巾 10片裝","健力氏"
P000002318,"殺菌消毒濕紙巾 (迪士尼) 10片裝","健力氏"
P000002336,"自發粉 800克","袋鼠牌"
P000002344,"高質淨麵粉 800克","豐富牌"
P000002367,"盒裝 125克 (926840)","藍莓"
P000002371,"無蔗糖添加即沖100%豆漿 20克 x 8","大排檔"
P000002390,"花生醬 - 粗粒裝 170克","頂好牌"
P000002407,"袋裝 (340克 / 12安士) (55505)","去皮小甘筍"
P000002410,"蜂皇漿 (in Mountain Flower Honey) 375克","蘭絲"
P000002411,"槐花蜂巢蜂蜜 Acacia Honeycomb 500克","蘭絲"
P000002474,"古法生抽王 500毫升","同珍"
P000002476,"金牌蠔油 380克","美味棧"
P000002484,"香片茶包 x 100","車仔"
P000002505,"天然礦泉水 1.5公升 x 6","富維克"
P000002507,"花生醬 - 粗粒裝 340克","頂好牌"
P000002519,"日本櫻花雞蛋 10隻","滋味"
P000002520,"通心粉 Chifferi Rigati (n.33) 500克","De Cecco"
P000002530,"葯水 1.75安士 (50毫升)","法國雙飛人"
P000002531,"脫脂高鈣牛奶飲品 236毫升","維記"
P000002552,"天然氣泡礦泉水 1公升","聖沛黎洛"
P000002575,"+維他命C (含多種維他命及礦物質) 葡萄口味咀嚼片 60粒","小善存"
P000002592,"Free Range 全脂牛奶 1公升","澳洲哈維"
P000002593,"Free Range 脫脂牛奶 1公升","澳洲哈維"
P000002604,"花生朱古力 (13 x 13.5克 繽紛裝) 175.5克","M&M's"
P000002605,"奇趣蛋 (含新奇玩具) 男孩版 (單蛋裝) 20克","健達"
P000002606,"奇趣蛋 (含新奇玩具) 女孩版 (單蛋裝) 20克","健達"
P000002611,"奇趣蛋 (含新奇玩具) 女孩版 (3蛋裝) 20克 x 3","健達"
P000002654,"衛生棉條 - 普通型 16片","歐碧"
P000002655,"紫菜 (原味) 24小包 18克","四洲"
P000002657,"紫菜 (原味) 100小包 75克","四洲"
P000002660,"糖水波蘿片 234克","地捫"
P000002668,"IRT6520 耳溫槍","百靈牌"
P000002676,"白金版 3 幼兒成長配方奶粉 900克","Nutricia Aptamil"
P000002686,"超滑牙線 Satin Floss (薄荷口味) 50米","歐樂B"
P000002692,"香蕉奶 200毫升","Binggrae"
P000002693,"士多啤梨奶 200毫升","Binggrae"
P000002694,"蜜瓜奶 200毫升 x 6","Binggrae"
P000002700,"乾貓糧 (成年貓) - 海洋魚類 1.2公斤","偉嘉"
P000002711,"化粧棉 180片","麗的"
P000002714,"冰凉消毒漱口水 250毫升","必妥碘"
P000002717,"梳打粉 56克","理想牌"
P000002731,"泰國有機香米 2公斤","滋味"
P000002732,"泰國三色健康香米 5公斤","滋味"
P000002736,"健康糖 8.5克 100粒裝","怡口"
P000002759,"意大利粉 Spaghetti (N.4) 500克","多維利"
P000002761,"坑紋長尖通粉 Penne Zita Rigate (N.32) 500克","多維利"
P000002764,"意大利粉 Spaghetti (n.5) 500克","San Remo"
P000002765,"直通粉 (n.73) 500克","百得阿姨"
P000002766,"長通粉 Penne Rigate (n.41) 500克","De Cecco"
P000002773,"沐浴露 32安士 946毫升","露得清"
P000002792,"零感特薄 (日/夜用) 衛生巾 30厘米 16片","花王 樂而雅"
P000002793,"特效滋潤沐浴露 1公升","澳寶"
P000002799,"低脂乳酪 - 椰果 135克","明治"
P000002810,"嬰兒紙尿片 (初生) 44片","妮飄"
P000002814,"嬰兒紙尿片 (加大碼) 44片","妮飄"
P000002822,"聲波震動牙刷 - 標準刷頭 (M) 1支","適齒美"
P000002823,"聲波震動牙刷 - 超細刷頭 (SS) 1支","適齒美"
P000002829,"紅醋 (藍莓味) 500毫升","清淨園"
P000002833,"牛奶朱古力 - 盒裝 (26粒裝) 120克","明治"
P000002843,"極緻綿柔纖巧夜用衛生巾 41厘米 8片","高潔絲"
P000002849,"Aquaction 長效保濕凝露 50克","玉蘭油"
P000002863,"最高級特撰米 10磅 (4.54公斤)","錦字米"
P000002867,"營養麥 (不另加糖) Swiss Style Muesli - No Added Sugar 560克","歐寶"
P000002889,"強力凝聚貓沙 9公升","潔珊"
P000002890,"茉莉香米 5公斤","袋鼠牌"
P000002893,"燕麥舒緩潤膚露 - 含燕麥萃取及乳木果油 621毫升","聖艾芙"
P000002908,"緊緻活膚乳液 400毫升","妮維雅"
P000002909,"天然燕麥高效舒緩保濕乳 354毫升","艾惟諾"
P000002913,"三重補濕彈力面膜 (極潤) 5片裝","Mandom Beauty - Barrier Repair"
P000002938,"維他命香橙及檸檬夾心果汁糖 50克","二寶"
P000002953,"金裝銀絲香米 8公斤","超力"
P000002955,"港式奶茶 - 樽裝 480毫升","維他"
P000002962,"橄欖油 500毫升","樂家"
P000002984,"深層清潔洗髮露 900毫升","TRESemme"
P000002990,"止汗走珠香體露 - 原味 40毫升","多芬"
P000002999,"鮮菇粉 180克","家樂牌"
P000003001,"銀絲米粉 - 金牌原味 65克","超力"
P000003011,"蜜蠟潤唇膏 4.25克","Burt's Bees"
P000003020,"冷榨橙汁 1公升","新西蘭康果"
P000003023,"瞬吸倍護絲薄護翼特長日用衛生巾 25厘米 14片","花王 樂而雅"
P000003028,"止汗走珠香氛 - 持久乾爽 Dry Comfort 50毫升","妮維雅"
P000003037,"MC-246 電子體溫計","歐姆龍"
P000003083,"皇室香皂 110克 x 4","加信氏"
P000003086,"蔴蓉湯圓 24粒 240克","小寧波"
P000003106,"無核提子乾 9包裝 125克","妹嘜"
P000003109,"高效去油洗潔精 2公斤","立白"
P000003112,"有機雙益 Combiotic 3 幼兒成長奶粉 800克","喜寶"
P000003119,"牛油 - 原味 / 無添加鹽 227克","安佳"
P000003121,"有機軟牛油 (含植物油) - 少鹽 Slightly Salted 200克","銀寶"
P000003123,"綠豆霸 (綠豆冰凍甜點) 4支裝 (80毫升 x 4支) 320毫升","阿波羅"
P000003124,"有機黃豆硬豆腐 300克","維他奶 山水"
P000003129,"三合一速溶咖啡飲品 - 低脂咖啡 14克 x 20","麥斯威爾"
P000003136,"4層衛生紙 (1740克, VC4439) 12卷裝","維達"
P000003141,"零感特薄 (特長日用) 衛生巾 25厘米 16片","花王 樂而雅"
P000003146,"瞬吸倍護護翼夜用纖巧衛生巾 30厘米 8片","花王 樂而雅"
P000003147,"好自在甜睡瞬潔護翼極長夜用衛生巾 40厘米 10片","護舒寶"
P000003153,"LT 活性乳酸菌飲品 - 低糖高纖 100毫升 x 5","益力多"
P000003158,"沙律醬 300克","丘比"
P000003160,"奇妙醬 (12安士) 354毫升","卡夫"
P000003170,"S-26 Gold Connect 1 初生嬰兒配方奶粉 850克","惠氏"
P000003172,"S-26 Gold Connect 3 幼兒成長配方奶粉 850克","惠氏"
P000003173,"S-26 Gold Connect 4 學兒成長配方奶粉 850克","惠氏"
P000003188,"單一穀物米粉 227克","嘉寶"
P000003192,"至薄極感裝衛生套 Air Max 10個","杜蕾斯"
P000003194,"50+配方 Advance - Complete from A to Zinc (多種維他命及礦物質) 100粒","銀善存"
P000003195,"23種維他命及礦物質補充品 100粒","惠氏"
P000003201,"全效賦活柔滑潔面霜 100克","Bio-Essence"
P000003205,"潤澤水嫩洗面乳 130克","多芬"
P000003208,"安睡倍護夜用纖巧衛生巾 (3D防漏邊) 35厘米 8片","花王 樂而雅"
P000003215,"牛油蛋卷 3條裝 x 6","華園"
P000003222,"抽取式萬用廚紙 (VC2394) 80張 x 3包裝","維達"
P000003229,"Melona 蜜瓜味雪條 80毫升 x 4","Binggrae"
P000003243,"廚房全效清潔劑 - 噴霧裝 500克","威猛先生"
P000003257,"綠茶成分洗手梘液 (含濃縮綠茶配方) - 香花味 250毫升","牛乳"
P000003264,"潤喉糖 - 清甜青檸味 25克","漁夫之寶"
P000003265,"草本潤無糖喉片 - 蜂蜜檸檬味 10.4克","龍角散"
P000003267,"特強草本潤喉糖 (川貝、枇杷配方) 8粒裝 24克","珮夫人"
P000003280,"微波爐保鮮紙 65.6呎","旭化成"
P000003282,"牛奶朱古力 Swiss Classic - Milk 100克","瑞士蓮"
P000003288,"乳酪飲品 - 藍莓 65毫升 x 6","倍樂醇"
P000003303,"幼海鹽 500克","點點綠"
P000003304,"南非海鹽 360克","Cape Herb & Spice"
P000003309,"Melona 芒果味雪條 80毫升 x 4","Binggrae"
P000003312,"特選萬里脆花生 320克","時興隆金龜嘜"
P000003319,"零系可樂 - 樽裝 1.25公升","可口可樂"
P000003321,"荳奶 - 椰子味 250毫升 x 6","陽光"
P000003323,"3合1白咖啡 - 榛果 38克 x 10","舊街場"
P000003327,"輕盈純淨洗髮乳 680毫升","多芬"
P000003343,"冷氣機潔淨劑 (清新花香) 420毫升","元創生活"
P000003384,"無睡意傷風素 Coltalin ND 24粒","幸福"
P000003389,"草本清熱沖劑 - 青檸味 6克 x 4","清熱酷"
P000003390,"草本清熱潤沖劑 - 青檸味 5克 x 4","珮夫人"
